,FEED_NAME,LAST_RUN_STATUS,
43,svl_jira_customfield_table_staged,COMPLETED,
44,svl_nlyte_cabinetu_table_staged,COMPLETED,
45,svl_nlyte_umounting_table_staged,COMPLETED,
46,svl_nlyte_material_table_staged,COMPLETED,
47,svl_nlyte_vw_asset_custom_field_view_staged,COMPLETED,
48,svl_nlyte_asset_table_staged,COMPLETED,
49,svl_nlyte_business_group_asset_map_table_staged,COMPLETED,
50,svl_nlyte_businessgroup_table_staged,COMPLETED,
51,svl_nlyte_cabinet_table_staged,COMPLETED,
52,svl_nlyte_material_type_table_staged,COMPLETED,
53,am_net_route_point_table_staged,COMPLETED,
54,am_net_location_table_staged,COMPLETED,
55,am_net_site_table_staged,COMPLETED,
56,am_country_table_staged,COMPLETED,
57,am_route_point_table_staged,COMPLETED,
58,am_city_table_staged,COMPLETED,
59,exam_ubvpn_users_connected_from_physical_site_...,COMPLETED,
60,exam_ubvpn_users_connected_from_physical_site_...,COMPLETED,
61,svl_power_iq_pdu_sensor_table_stage,COMPLETED,
62,svl_power_iq_pdu_sensor_reading_monthly_rollup...,COMPLETED,
63,svl_power_iq_pdu_sensor_reading_daily_rollup_t...,COMPLETED,
64,svl_power_iq_pdu_sensor_reading_table_stage,COMPLETED,
65,esp_host_location,COMPLETED,
66,esp_host_details_ext,COMPLETED,
67,oci_host_to_dw_gw_sw_switch_map,COMPLETED,
68,esp_business_database_service_info,COMPLETED,
69,exam_use_case_2,COMPLETED,
70,oci_emc_san_data_store_map,COMPLETED,
71,esp_service_portfolio,COMPLETED,
72,remote_login_isp_ubvpn_evpn,COMPLETED,
73,am_area_table_staged,COMPLETED,
74,esp_cmdb_ci_ip_router,COMPLETED,
75,itsm_high_priority_data_of_incident,COMPLETED,
76,esp_cli_service_mapping,COMPLETED,
77,ise_endpoint_network_access,COMPLETED,
78,esp_location,COMPLETED,
79,oci_host_allocation_utils,COMPLETED,
80,wpr_ccw_by_org,COMPLETED,
81,esp_app_instance_info,COMPLETED,
82,vm_host_mapping,COMPLETED,
83,esp_cmdb_cluster,COMPLETED,
84,esp_host_ucs_hierachy,COMPLETED,
85,oci_inventory_storage,COMPLETED,
86,oci_inventory_internal_volume,COMPLETED,
87,esp_business_service_component,COMPLETED,
88,esp_tasks_ci,COMPLETED,
89,esx_host,COMPLETED,
90,remote_login_webex_daily_source_ingest,COMPLETED,
91,esp_cmdb_rel_ci_inferred,COMPLETED,
92,remote_login_core_backbone_daily_source_ingest,COMPLETED,
93,remote_login_employee__partner_vpn_usage_vs_ca...,COMPLETED,
94,oci_nas_data_store_map,COMPLETED,
95,esp_cmdb_ci_netgear,COMPLETED,
96,esp_sys_user_group,COMPLETED,
97,esp_cmdb_model,COMPLETED,
98,esp_monitoring_collectors,COMPLETED,
99,esp_business_application_modules,COMPLETED,
100,esp_host_contacts,COMPLETED,
101,esp_tpam_group_config,COMPLETED,
102,esp_cmn_location,COMPLETED,
103,oci_inventory_volume,COMPLETED,
104,itsm_service_offering_and_hierarchy_data,COMPLETED,
105,itsm_user_group_details,COMPLETED,
106,esp_cmdb_ci_cluster,COMPLETED,
107,oci_nas_data_store_eng_v,COMPLETED,
108,am_net_hierarchy_staged,COMPLETED,
109,esp_app_host_info,COMPLETED,
110,am_location_table_staged,COMPLETED,
111,envoy_mounted_disk_ingest,COMPLETED,
112,envoy_machines_ingest,COMPLETED,
113,envoy_remote_mounts_ingest,COMPLETED,
114,esp_change_ci_dependencies,ABANDONED,
115,envoy_system_packages_ingest,COMPLETED,
116,esp_business_application,COMPLETED,
117,esp_server_ucs,COMPLETED,
118,esp_service_view,COMPLETED,
119,esp_support_group,COMPLETED,
120,esp_dqf_network_building_function,ABANDONED,
,,,
